City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,severo-kurilsk,100,RU,1559681093,95,50.68,156.12,41.89,14.12
104,vao,45,EE,1559681093,80,59.1,26.19,61.69,4.45
105,almaznyy,0,RU,1559681094,56,48.03,40.04,71.6,15.66
106,cuca,100,RO,1559681094,92,44.97,24.52,53.59,6.24
107,carballo,40,ES,1559681094,76,43.21,-8.69,60.01,5.82
108,kavieng,100,PG,1559681094,75,-2.57,150.8,83.11,6.26
109,high level,90,CA,1559681095,87,58.52,-117.13,46.4,9.17
110,knappskog,75,NO,1559681095,81,60.38,5.06,54.0,12.75
111,ancud,40,CL,1559681095,93,-41.87,-73.83,53.6,11.41
112,kapaa,75,US,1559681095,69,22.08,-159.32,81.0,16.11
113,saint anthony,1,US,1559681095,43,43.97,-111.68,78.01,11.41
114,cape town,75,ZA,1559680831,93,-33.93,18.42,62.01,20.8
115,port blair,100,IN,1559681095,79,11.67,92.75,84.91,9.17
116,paamiut,46,GL,1559681096,81,61.99,-49.67,38.47,3.89
117,pallasovka,0,RU,1559681096,60,50.04,46.89,58.09,11.81
118,silver city,40,US,1559681096,20,32.77,-108.28,87.01,9.17
119,cidreira,2,BR,1559681096,72,-30.17,-50.22,61.15,3.22
120,narsaq,1,GL,1559681096,26,60.91,-46.05,59.0,14.99
121,sao joao da barra,40,BR,1559681096,53,-21.64,-41.05,73.4,27.51
122,castanos,75,MX,1559681000,43,26.78,-101.42,87.8,8.05
123,ust-omchug,52,RU,1559681097,70,61.13,149.63,48.19,4.9
124,yenagoa,100,NG,1559681097,95,4.92,6.26,75.37,4.72
125,kaitangata,93,NZ,1559681097,76,-46.28,169.85,39.0,5.99
126,whitehorse,75,CA,1559681097,71,60.72,-135.06,57.99,6.93
127,castro,40,CL,1559680884,93,-42.48,-73.76,53.6,11.41
128,brownsville,75,US,1559680964,66,25.91,-97.49,89.6,13.87
129,gao,14,ML,1559681098,7,16.28,-0.04,98.77,7.45
130,potrerillos,40,HN,1559681098,53,15.23,-87.96,96.8,14.99
131,lasa,0,CY,1559681098,56,34.92,32.53,75.2,6.93
132,singaraja,100,ID,1559681098,73,-8.11,115.08,80.77,5.06
